"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"11273",2015,10,"WN","Southwest Airlines Co.","DCA","Washington, DC: Ronald Reagan Washington National",1306,134,5,3,6347,1636,129,1453,0,3129
"6659",2015,6,"OO","SkyWest Airlines Inc.","LWS","Lewiston, ID: Lewiston Nez Perce County",56,2,0,0,86,84,0,2,0,0
"11948",2015,11,"MQ","Envoy Air","MIA","Miami, FL: Miami International",331,52,6,1,5143,2364,479,419,5,1876
"174",2015,1,"B6","JetBlue Airways","SAV","Savannah, GA: Savannah/Hilton Head International",93,21,8,0,842,221,86,351,0,184
"11693",2015,11,"EV","ExpressJet Airlines Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",896,131,13,0,8760,2524,723,1615,0,3898
"5183",2015,5,"F9","Frontier Airlines Inc.","FSD","Sioux Falls, SD: Joe Foss Field",13,1,0,0,18,5,0,13,0,0
"9819",2015,9,"MQ","Envoy Air","SDF","Louisville, KY: Louisville International-Standiford Field",29,1,0,0,60,0,0,0,0,60
"1554",2015,2,"EV","ExpressJet Airlines Inc.","MDT","Harrisburg, PA: Harrisburg International",64,15,2,1,1219,1063,0,132,0,24
"4681",2015,5,"AA","American Airlines Inc.","LBB","Lubbock, TX: Lubbock Preston Smith International",62,17,4,2,1715,417,376,171,0,751
"626",2015,1,"MQ","Envoy Air","MSN","Madison, WI: Dane County Regional-Truax Field",270,96,20,0,5054,1206,889,1219,0,1740
"6202",2015,6,"EV","ExpressJet Airlines Inc.","PVD","Providence, RI: Theodore Francis Green State",66,15,1,1,1675,353,477,365,0,480
"7201",2015,7,"DL","Delta Air Lines Inc.","ILM","Wilmington, NC: Wilmington International",31,6,0,0,607,72,98,6,0,431
"5734",2015,5,"WN","Southwest Airlines Co.","RNO","Reno, NV: Reno/Tahoe International",604,94,1,0,4002,1175,13,335,0,2479
"4342",2015,4,"OO","SkyWest Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",23,7,0,0,353,156,69,120,0,8
