"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"8625",2015,8,"HA","Hawaiian Airlines Inc.","SAN","San Diego, CA: San Diego International",31,4,0,0,168,101,47,0,11,9
"8626",2015,8,"HA","Hawaiian Airlines Inc.","SMF","Sacramento, CA: Sacramento International",31,7,0,1,325,263,0,0,0,62
"8629",2015,8,"HA","Hawaiian Airlines Inc.","ITO","Hilo, HI: Hilo International",526,89,2,0,3783,1463,302,38,0,1980
"8637",2015,8,"HA","Hawaiian Airlines Inc.","PPG","Pago Pago, TT: Pago Pago International",11,1,0,0,43,43,0,0,0,0
"8640",2015,8,"MQ","Envoy Air","STL","St. Louis, MO: St Louis Lambert International",87,20,4,0,717,267,39,113,0,298
"8642",2015,8,"MQ","Envoy Air","SGF","Springfield, MO: Springfield-Branson National",287,35,2,0,2046,704,130,331,0,881
"8649",2015,8,"MQ","Envoy Air","LGA","New York, NY: LaGuardia",911,262,38,1,16918,4619,337,5172,0,6790
"8658",2015,8,"MQ","Envoy Air","BMI","Bloomington/Normal, IL: Central Illinois Regional",144,19,4,0,829,320,209,32,0,268
"8665",2015,8,"MQ","Envoy Air","CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",465,86,14,0,3852,1733,186,890,7,1036
"8670",2015,8,"MQ","Envoy Air","GSP","Greer, SC: Greenville-Spartanburg International",37,4,1,0,115,66,0,8,0,41
"8671",2015,8,"MQ","Envoy Air","DRO","Durango, CO: Durango La Plata County",93,11,0,1,468,204,23,60,0,181
"8672",2015,8,"MQ","Envoy Air","TUL","Tulsa, OK: Tulsa International",170,24,3,0,1251,618,7,57,108,461
"8675",2015,8,"MQ","Envoy Air","LRD","Laredo, TX: Laredo International",72,12,1,0,577,378,17,33,0,149
"8677",2015,8,"MQ","Envoy Air","MIA","Miami, FL: Miami International",492,88,12,3,5420,2124,44,808,0,2444
"8679",2015,8,"MQ","Envoy Air","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",29,5,1,0,155,139,0,16,0,0
"8691",2015,8,"MQ","Envoy Air","CHO","Charlottesville, VA: Charlottesville Albemarle",31,6,1,0,246,49,0,97,0,100
"8693",2015,8,"MQ","Envoy Air","MSN","Madison, WI: Dane County Regional-Truax Field",184,19,9,0,1109,370,61,289,0,389
"8694",2015,8,"MQ","Envoy Air","FNT","Flint, MI: Bishop International",91,15,5,0,857,222,95,131,0,409
"8696",2015,8,"MQ","Envoy Air","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",73,16,2,0,829,433,20,88,0,288
"8714",2015,8,"MQ","Envoy Air","TLH","Tallahassee, FL: Tallahassee International",31,4,0,0,177,68,0,38,0,71
"8723",2015,8,"MQ","Envoy Air","HOU","Houston, TX: William P Hobby",190,51,4,2,3204,1028,529,507,0,1140
"8726",2015,8,"MQ","Envoy Air","MTJ","Montrose/Delta, CO: Montrose Regional",14,1,0,0,141,31,0,0,0,110
"8727",2015,8,"MQ","Envoy Air","SUX","Sioux City, IA: Sioux Gateway/Col. Bud Day Field",57,8,2,0,558,51,127,195,0,185
"8737",2015,8,"MQ","Envoy Air","ROC","Rochester, NY: Greater Rochester International",124,17,4,0,829,429,9,155,0,236
"8746",2015,8,"NK","Spirit Air Lines","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",470,197,3,1,12579,2591,447,6280,0,3261
"8747",2015,8,"NK","Spirit Air Lines","LAS","Las Vegas, NV: McCarran International",868,262,14,1,18350,2902,326,9703,0,5419
"8750",2015,8,"NK","Spirit Air Lines","PHL","Philadelphia, PA: Philadelphia International",155,68,3,0,5606,664,86,2650,0,2206
"8751",2015,8,"NK","Spirit Air Lines","MYR","Myrtle Beach, SC: Myrtle Beach International",403,123,5,0,7932,2386,55,2945,0,2546
"8764",2015,8,"NK","Spirit Air Lines","DEN","Denver, CO: Denver International",391,129,4,0,8856,1898,33,4527,0,2398
"8774",2015,8,"NK","Spirit Air Lines","PBG","Plattsburgh, NY: Plattsburgh International",26,10,0,0,455,49,0,99,0,307
"8778",2015,8,"OO","SkyWest Airlines Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",1036,161,16,0,10490,4282,322,1389,24,4473
"8780",2015,8,"OO","SkyWest Airlines Inc.","MKE","Milwaukee, WI: General Mitchell International",716,133,23,4,7018,2835,411,1043,0,2729
"8782",2015,8,"OO","SkyWest Airlines Inc.","FSD","Sioux Falls, SD: Joe Foss Field",188,47,3,2,2949,747,435,601,0,1166
"8785",2015,8,"OO","SkyWest Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",3487,992,73,1,52111,10127,861,18654,5,22464
"8787",2015,8,"OO","SkyWest Airlines Inc.","SLC","Salt Lake City, UT: Salt Lake City International",4183,446,26,20,25986,8742,978,2438,99,13729
"8796",2015,8,"OO","SkyWest Airlines Inc.","MSY","New Orleans, LA: Louis Armstrong New Orleans International",105,24,1,0,1712,788,257,139,0,528
"8802",2015,8,"OO","SkyWest Airlines Inc.","ABQ","Albuquerque, NM: Albuquerque International Sunport",339,72,4,0,4199,1912,51,353,0,1883
"8811",2015,8,"OO","SkyWest Airlines Inc.","SAF","Santa Fe, NM: Santa Fe Municipal",31,2,1,0,108,39,0,0,0,69
"8816",2015,8,"OO","SkyWest Airlines Inc.","SJC","San Jose, CA: Norman Y. Mineta San Jose International",540,129,3,0,6382,2711,0,398,0,3273
"8820",2015,8,"OO","SkyWest Airlines Inc.","ACV","Arcata/Eureka, CA: California Redwood Coast Humboldt County",122,35,6,0,2237,500,128,105,0,1504
"8825",2015,8,"OO","SkyWest Airlines Inc.","MAF","Midland/Odessa, TX: Midland International Air and Space Port",130,21,3,0,1120,554,0,205,16,345
"8833",2015,8,"OO","SkyWest Airlines Inc.","OMA","Omaha, NE: Eppley Airfield",153,27,1,0,1716,874,66,135,0,641
"8838",2015,8,"OO","SkyWest Airlines Inc.","LAS","Las Vegas, NV: McCarran International",150,29,3,0,1332,327,0,420,0,585
"8840",2015,8,"OO","SkyWest Airlines Inc.","LAR","Laramie, WY: Laramie Regional",52,2,1,0,178,91,0,0,0,87
"8842",2015,8,"OO","SkyWest Airlines Inc.","TUL","Tulsa, OK: Tulsa International",136,19,1,0,891,691,0,135,0,65
"8849",2015,8,"OO","SkyWest Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",190,30,2,1,2143,657,164,789,0,533
"8855",2015,8,"OO","SkyWest Airlines Inc.","AVL","Asheville, NC: Asheville Regional",98,17,2,0,927,626,0,71,0,230
"8858",2015,8,"OO","SkyWest Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",440,77,9,4,4540,1628,245,677,66,1924
"8872",2015,8,"OO","SkyWest Airlines Inc.","LEX","Lexington, KY: Blue Grass",73,14,3,0,431,104,0,129,14,184
"8877",2015,8,"OO","SkyWest Airlines Inc.","JAX","Jacksonville, FL: Jacksonville International",20,7,0,0,462,334,0,53,0,75
"8880",2015,8,"OO","SkyWest Airlines Inc.","FAR","Fargo, ND: Hector International",274,41,0,0,2183,1136,36,222,0,789
"8885",2015,8,"OO","SkyWest Airlines Inc.","SGU","St. George, UT: St George Regional",155,21,0,0,959,195,12,153,0,599
"8888",2015,8,"OO","SkyWest Airlines Inc.","SPI","Springfield, IL: Abraham Lincoln Capital",93,14,2,0,666,242,107,110,0,207
"8901",2015,8,"OO","SkyWest Airlines Inc.","PSC","Pasco/Kennewick/Richland, WA: Tri Cities",196,33,3,1,1647,775,14,156,0,702
"8902",2015,8,"OO","SkyWest Airlines Inc.","MTJ","Montrose/Delta, CO: Montrose Regional",62,7,0,0,273,92,0,2,0,179
"8906",2015,8,"OO","SkyWest Airlines Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",20,4,0,0,234,74,0,18,0,142
"8907",2015,8,"OO","SkyWest Airlines Inc.","COD","Cody, WY: Yellowstone Regional",76,13,0,1,793,263,27,51,0,452
"8909",2015,8,"OO","SkyWest Airlines Inc.","CMX","Hancock/Houghton, MI: Houghton County Memorial",63,12,4,1,497,159,0,30,0,308
"8921",2015,8,"OO","SkyWest Airlines Inc.","BJI","Bemidji, MN: Bemidji Regional",62,8,0,0,700,414,48,52,0,186
"8923",2015,8,"OO","SkyWest Airlines Inc.","ALB","Albany, NY: Albany International",12,3,0,0,114,29,0,21,0,64
"8939",2015,8,"OO","SkyWest Airlines Inc.","LBB","Lubbock, TX: Lubbock Preston Smith International",60,14,0,0,506,302,11,137,0,56
"8943",2015,8,"OO","SkyWest Airlines Inc.","PVD","Providence, RI: Theodore Francis Green State",7,1,0,0,98,0,0,3,0,95
"8946",2015,8,"OO","SkyWest Airlines Inc.","RKS","Rock Springs, WY: Rock Springs Sweetwater County",57,7,1,0,435,162,0,39,0,234
"8949",2015,8,"OO","SkyWest Airlines Inc.","INL","International Falls, MN: Falls International Einarson Field",54,5,0,0,363,120,0,2,0,241
"8950",2015,8,"OO","SkyWest Airlines Inc.","WYS","West Yellowstone, MT: Yellowstone",54,6,0,0,122,38,0,55,0,29
"8955",2015,8,"UA","United Air Lines Inc.","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",347,69,0,0,4028,1469,184,630,71,1674
"8959",2015,8,"UA","United Air Lines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",361,88,1,3,5792,2537,332,569,0,2354
"8963",2015,8,"UA","United Air Lines Inc.","LAS","Las Vegas, NV: McCarran International",1051,197,5,6,11781,3887,215,1939,0,5740
"8965",2015,8,"UA","United Air Lines Inc.","ALB","Albany, NY: Albany International",74,28,1,0,1350,433,0,64,0,853
